team_id,fifa_code,model_version,default_formation,attack,midfield,defense,goalkeeping,depth,set_pieces,overall,lineup_player_ids,lineup_roles,confidence_score,uncertainty,is_estimated
congo-dr,COD,rating-model-2026.06.24-v1,4-3-3,68,68,68,73,69,70,69,37995ec8-4dc0-5ebf-860a-24e06859c8a8|b3e10328-639e-5f7d-b124-bb61c48d8600|02ad3db6-5281-5e3d-8c57-aae91bd6b114|21e5acf7-662b-5349-b235-b8a43895af42|429fb8d0-5ec3-53ad-82a6-94000cf0ff48|0b64b8db-2499-5e82-bdf3-191668a62dd7|2cdfcae6-98cb-57d2-bf93-d482ea39154d|c19056c6-c2f2-5a6e-a3ab-d5dd1cc03869|c0e83d65-ee6b-58be-bce0-2e3abf975eda|7e7544ec-dab8-5560-a0cd-5b59155f17ac|a08f93b4-d621-52fd-b585-f61153d4d8a4,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.641,0.359,true
cote-divoire,CIV,rating-model-2026.06.24-v1,4-3-3,68,70,69,75,69,71,70,d756477e-5ecc-55c3-9895-3c1e41346709|44b3a66b-e208-56c9-bc58-deeb0abbc706|fc1a20b5-77b6-55f3-87cd-9e90bbbd21ab|20ec8c5e-ef1b-5ca2-9bb9-995ec53235fb|a4f2e184-0d81-5ba3-9916-a9c645787872|59889c10-89dc-536c-b0ef-fb75db7a4013|1fe7c888-472d-5bfa-b81d-67ffa0785852|34baa19f-2751-58fc-9ca6-b654c1ddc0df|666240bb-f6ff-5ccb-be92-ad29230b55d4|d1c98060-3eeb-5a22-bb21-f780ba8f1edd|a86bbda1-54c4-592e-b79e-ffab5d77157d,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.643,0.357,true
croatia,CRO,rating-model-2026.06.24-v1,4-3-3,69,71,70,77,70,72,71,50f9b950-fd2f-5749-9ee4-3766949d6094|b947429c-7269-5f4e-a735-07591ef2e11b|7efa8dfe-09db-565f-9f84-10b161d689e8|c476e416-921f-55f8-a5aa-75ac8ba3c298|fdfbd51d-4061-5cec-8bb0-c05500e8826d|288cb5ac-2bf5-5806-b298-92cf3967d787|cbd3a620-4061-5d63-ada1-2638e68c5d27|29515c8c-39f0-554a-8d03-9dd1e2388931|358c3354-da19-5007-8e97-d1b33a23e572|00bbcfcf-be94-53b9-959b-65ff70143d72|935dad88-800e-52e1-96bf-fe51f9c33b7b,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.66,0.34,true
curacao,CUW,rating-model-2026.06.24-v1,4-3-3,67,67,67,72,67,69,68,1d76a861-d8f0-5870-835f-19ee948a2287|2d0d71fa-35d5-56a9-915b-8739f609fbaa|117ecf0f-4b5a-50ef-8238-065bd69541b3|e4245e09-5504-5502-a721-58bb6379b29b|d7f98d20-1ec6-5933-a9ad-cbe16af4e30a|87ccd17b-4f8b-5154-bee5-7801001ceb18|9e821a73-85b2-5722-9cb6-b2d53f30c6de|f0fb41f1-7772-5309-8a1e-08fd7a6b8157|46fa8560-c622-51e6-b4b5-73273571fd15|d33894a8-566c-5409-b7dc-d14d50f9d7b0|133a4587-4b05-5961-9f29-c8816f205ec8,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.612,0.388,true
czechia,CZE,rating-model-2026.06.24-v1,4-3-3,69,69,69,74,70,70,70,39838c3b-503e-5715-84db-ab86d2b5c8fb|396b0cc6-5944-5e12-acb8-176a5817ff51|b588eea5-d84d-5e9b-a277-76724cd53fe1|c0a7df6b-002e-5b21-b674-53d2cb640f70|3db43fc4-83cf-5a20-a4aa-e361b9b7da31|ebaa6410-93cf-551e-84e8-eef33c305ac1|eb9a523f-5a8b-5617-9264-b654509d7abb|52f32e1a-08cf-58c3-9008-dd7296444617|0025c4e7-f77d-5b14-b1c5-b4529d3c06f8|8b1c1bba-c8f4-58b7-848d-7d9705b08da5|0de1e715-ae58-5165-8f9d-16aa3c724acd,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.643,0.357,true
ecuador,ECU,rating-model-2026.06.24-v1,4-3-3,69,69,70,73,70,70,70,8f5930ef-e009-5436-b619-4904a6a6fc40|6104b1ea-29ad-5f50-9d53-5d1093251140|705bbef5-0ede-51a1-b980-271cc74a7991|74f579b0-8c52-5610-a422-e2127a7e4141|e425cbb5-f746-5878-8c73-75c8a9596e0b|114d7411-06a2-530c-b96c-58eeeb5691f3|ac704c7b-9761-5b59-9098-c7c58cf991e5|677ed7df-0c0b-5b78-b01d-a8a95529d848|07207520-4fa5-504a-8315-2f6516890b83|ea340435-c178-5b2d-af26-9f23028b737f|220358ed-2fd3-591d-8c3a-e54ca6e53d29,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.649,0.351,true
egypt,EGY,rating-model-2026.06.24-v1,4-3-3,69,69,69,74,70,71,70,d81aacd8-e4c5-545b-bc21-2a6874c40c50|7b752fa3-7e4a-5cca-8a0d-697d149fca77|64244656-f660-584f-9df9-71f3ec4cbb69|8d0c5298-b8f2-567b-8cc6-9f688c9d9aff|c16be0f5-afc1-589c-a05d-aaa26f0c50fe|bd6f88ce-4cdd-516b-b1bb-cda53b13b0de|8fe03b44-4cfc-5ee6-8d15-8c3e3b64a29e|c419f8b5-50b3-54e3-bfd5-bef21fddb6e3|55ecb9ec-d8a3-5b0d-a30b-4c7e9c69b9ce|995c6e89-eb4e-5892-a84a-273a2b67818c|095b1737-65ef-5ba5-9f4d-6fb6117a51f4,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.643,0.357,true
england,ENG,rating-model-2026.06.24-v1,4-3-3,71,71,70,77,70,73,71,de3dc4ed-b8b3-51ec-afe2-50ea6c670945|9df35a4b-bb0c-5ad4-a8af-a023e9b76f22|9851e9ea-2eae-54a9-90a3-8c799e40ca29|ab0fa373-ffcb-5bb1-a29f-89de12b799a0|db754b8b-eae9-580c-a454-e898770e20b8|c1ae9b3d-f9bf-5bc5-964f-22da512e6823|062b88a0-149c-55b1-968d-862162711bb4|a4b5bfc5-bfe4-5d21-87be-b11631c1e68b|f69c71a2-c7d0-50a2-9db9-ed22ffef1fa8|d34d65eb-9baf-52d2-8a14-b5ff7d7afc81|6e931d29-b4d6-5590-9107-de333d289238,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.659,0.341,true
france,FRA,rating-model-2026.06.24-v1,4-3-3,70,70,71,77,71,73,71,0d73b3a3-7033-53af-b74e-77eff015b15f|3bb7f4ed-9925-5635-88d0-0a175a4a23e2|8a21e8cd-1a11-5b52-9d85-1a2ed57ae110|9aab8cd7-12bf-529b-a8ce-9d8d5fdb051f|6a02d15d-319c-519c-b083-a84f5d61a27e|2319c588-fe23-52cf-8d6c-3b8ddda9f8c2|532423a0-2007-5b04-9143-d83b208edefc|394f1088-cb67-58af-bba7-b6c253d3fefe|c7b0d738-f0ff-5065-869c-abe56e4af525|5101d3a9-6e5a-5793-a6a7-80df9bfd891f|11476f6f-cfae-573b-93a1-54228b5fe901,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.667,0.333,true
germany,GER,rating-model-2026.06.24-v1,4-3-3,70,71,70,75,71,72,71,bee688af-f5de-52b5-b105-73755defcbc4|455831ea-57a4-5814-8227-42de04c7ff4a|f6ec996c-29ab-5d21-a084-a0101e4f5dec|23fd88ef-b3b1-5425-b972-635cc618c963|6506d8e2-64ff-5440-9d72-c953293941bc|95cacd73-4a4e-5819-a72d-be0b17c8947f|99081d1c-5506-5628-a5bc-6d1ec3a21364|02088a36-0027-5112-be73-88db5444177d|8f30c4d3-b88c-521f-9422-2fc9c8e08af0|2c15974a-6329-5ab0-b0dc-1b2a37844ec3|a4123896-2bba-5be5-abb5-1fd7ee145f03,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.651,0.349,true
